mechanism,n,domain,protocol,epsilon_h,epsilon_c,lambda,deposit_multiplier,deadline_sec,premium,k_bits,honest_payoff,fraud_payoff,deterrence,ic
AuditSlash,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.172281,82.962703,10.498019,1
StrongDeposit,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.248281,73.145741,20.314981,1
Deposit+PoW,100000,32,olh,1.0,2.0,1.0,1.0,0.2,8.208441,17,85.210281,74.727993,18.732729,1
NoVerify,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.252281,93.460722,0.000000,0
DirectAttest,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.152281,-1.000000,94.460722,1
RejectMismatch,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.132281,-2.000000,95.460722,1
TEEOnly,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.052281,86.604391,6.856331,0
AuditSlash,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.172281,86.246080,7.214643,0
StrongDeposit,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.248281,8.251090,85.209632,1
Deposit+PoW,100000,32,olh,1.0,2.0,2.0,0.0,0.2,8.208441,21,85.210281,33.852380,59.608342,1
NoVerify,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.252281,93.460722,0.000000,0
DirectAttest,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.152281,-1.000000,94.460722,1
RejectMismatch,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.132281,-2.000000,95.460722,1
TEEOnly,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.052281,86.604391,6.856331,0
AuditSlash,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.172281,84.604391,8.856331,1
StrongDeposit,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.248281,8.251090,85.209632,1
Deposit+PoW,100000,32,olh,1.0,2.0,2.0,0.5,0.2,8.208441,21,85.210281,31.595058,61.865664,1
NoVerify,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.252281,93.460722,0.000000,0
DirectAttest,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.152281,-1.000000,94.460722,1
RejectMismatch,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.132281,-2.000000,95.460722,1
TEEOnly,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.052281,86.604391,6.856331,0
AuditSlash,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.172281,82.962703,10.498019,1
StrongDeposit,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.152281,85.002281,8.458441,1
ReputationOnly,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.192281,81.723125,11.737597,1
TEE-PoW,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.248281,8.251090,85.209632,1
Deposit+PoW,100000,32,olh,1.0,2.0,2.0,1.0,0.2,8.208441,21,85.210281,29.337737,64.122985,1
NoVerify,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.172281,87.118462,8.280888,0
StrongDeposit,100000,32,olh,1.0,4.0,0.25,0.0,0.2,10.147070,15,85.152281,85.002281,10.397070,1
