mechanism,n,domain,protocol,epsilon_h,epsilon_c,lambda,deposit_multiplier,deadline_sec,premium,k_bits,honest_payoff,fraud_payoff,deterrence,ic
StrongDeposit,100000,2,brr,1.0,8.0,0.25,1.0,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,0.25,1.0,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,0.25,1.0,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,0.25,1.0,0.2,0.750033,30,99.193366,-42.493454,142.478853,1
NoVerify,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.155366,96.872881,3.112518,1
StrongDeposit,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,0.5,0.0,0.2,0.750033,30,99.193366,-42.080935,142.066335,1
NoVerify,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.155366,96.722875,3.262525,1
StrongDeposit,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,0.5,0.5,0.2,0.750033,30,99.193366,-42.287195,142.272594,1
NoVerify,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.155366,96.572868,3.412531,1
StrongDeposit,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,0.5,1.0,0.2,0.750033,30,99.193366,-42.493454,142.478853,1
NoVerify,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.155366,96.872881,3.112518,1
StrongDeposit,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,1.0,0.0,0.2,0.750033,30,99.193366,-42.080935,142.066335,1
NoVerify,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.155366,96.722875,3.262525,1
StrongDeposit,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,1.0,0.5,0.2,0.750033,30,99.193366,-42.287195,142.272594,1
NoVerify,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.155366,96.572868,3.412531,1
StrongDeposit,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,1.0,1.0,0.2,0.750033,30,99.193366,-42.493454,142.478853,1
NoVerify,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.155366,96.872881,3.112518,1
StrongDeposit,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,2.0,0.0,0.2,0.750033,30,99.193366,-42.080935,142.066335,1
NoVerify,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.155366,96.722875,3.262525,1
StrongDeposit,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,2.0,0.5,0.2,0.750033,30,99.193366,-42.287195,142.272594,1
NoVerify,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.235366,99.985399,0.000000,0
DirectAttest,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.135366,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.115366,-2.000000,101.985399,1
TEEOnly,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.035366,98.722875,1.262525,1
AuditSlash,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.155366,96.572868,3.412531,1
StrongDeposit,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.135366,98.985366,1.000033,1
ReputationOnly,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.175366,94.960370,5.025030,1
TEE-PoW,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.231366,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,1.0,8.0,2.0,1.0,0.2,0.750033,30,99.193366,-42.493454,142.478853,1
NoVerify,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.580954,97.064088,2.826052,1
StrongDeposit,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.656954,99.663859,0.226281,0
Deposit+PoW,100000,2,brr,2.0,4.0,0.25,0.0,0.2,0.229186,15,99.618954,99.732343,0.157797,0
NoVerify,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.580954,97.018251,2.871889,1
StrongDeposit,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.656954,99.663859,0.226281,0
Deposit+PoW,100000,2,brr,2.0,4.0,0.25,0.5,0.2,0.229186,15,99.618954,99.669317,0.220823,0
NoVerify,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.580954,96.972414,2.917726,1
StrongDeposit,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.656954,99.663859,0.226281,0
Deposit+PoW,100000,2,brr,2.0,4.0,0.25,1.0,0.2,0.229186,15,99.618954,99.606291,0.283849,1
NoVerify,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.580954,97.064088,2.826052,1
StrongDeposit,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.656954,78.178737,21.711403,1
Deposit+PoW,100000,2,brr,2.0,4.0,0.5,0.0,0.2,0.229186,17,99.618954,84.694558,15.195582,1
NoVerify,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.580954,97.018251,2.871889,1
StrongDeposit,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.656954,78.178737,21.711403,1
Deposit+PoW,100000,2,brr,2.0,4.0,0.5,0.5,0.2,0.229186,17,99.618954,84.631532,15.258608,1
NoVerify,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.580954,96.972414,2.917726,1
StrongDeposit,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.656954,78.178737,21.711403,1
Deposit+PoW,100000,2,brr,2.0,4.0,0.5,1.0,0.2,0.229186,17,99.618954,84.568506,15.321634,1
NoVerify,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.580954,97.064088,2.826052,1
StrongDeposit,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.656954,8.836316,91.053824,1
Deposit+PoW,100000,2,brr,2.0,4.0,1.0,0.0,0.2,0.229186,21,99.618954,36.190863,63.699277,1
NoVerify,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.580954,97.018251,2.871889,1
StrongDeposit,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.656954,8.836316,91.053824,1
Deposit+PoW,100000,2,brr,2.0,4.0,1.0,0.5,0.2,0.229186,21,99.618954,36.127837,63.762303,1
NoVerify,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.580954,96.972414,2.917726,1
StrongDeposit,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.656954,8.836316,91.053824,1
Deposit+PoW,100000,2,brr,2.0,4.0,1.0,1.0,0.2,0.229186,21,99.618954,36.064811,63.825329,1
NoVerify,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.580954,97.064088,2.826052,1
StrongDeposit,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.656954,-131.053382,230.943522,1
Deposit+PoW,100000,2,brr,2.0,4.0,2.0,0.0,0.2,0.229186,30,99.618954,-42.109526,141.999666,1
NoVerify,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.580954,97.018251,2.871889,1
StrongDeposit,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.656954,-131.053382,230.943522,1
Deposit+PoW,100000,2,brr,2.0,4.0,2.0,0.5,0.2,0.229186,30,99.618954,-42.172552,142.062692,1
NoVerify,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.660954,99.890140,0.000000,0
DirectAttest,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.560954,-1.000000,100.890140,1
RejectMismatch,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.540954,-2.000000,101.890140,1
TEEOnly,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.460954,99.018251,0.871889,1
AuditSlash,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.580954,96.972414,2.917726,1
StrongDeposit,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.560954,99.410954,0.479186,1
ReputationOnly,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.600954,95.333873,4.556267,1
TEE-PoW,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.656954,-131.053382,230.943522,1
Deposit+PoW,100000,2,brr,2.0,4.0,2.0,1.0,0.2,0.229186,30,99.618954,-42.235578,142.125718,1
NoVerify,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.660954,99.985399,0.000000,0
DirectAttest,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.560954,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.540954,-2.000000,101.985399,1
TEEOnly,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.460954,99.042066,0.943334,1
AuditSlash,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.580954,97.106955,2.878445,1
StrongDeposit,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.560954,99.410954,0.574445,1
ReputationOnly,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.600954,95.343399,4.642001,1
TEE-PoW,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.656954,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,2.0,8.0,0.25,0.0,0.2,0.324445,30,99.618954,-42.080935,142.066335,1
NoVerify,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.660954,99.985399,0.000000,0
DirectAttest,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.560954,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.540954,-2.000000,101.985399,1
TEEOnly,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.460954,99.042066,0.943334,1
AuditSlash,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.580954,97.042066,2.943334,1
StrongDeposit,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.560954,99.410954,0.574445,1
ReputationOnly,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.600954,95.343399,4.642001,1
TEE-PoW,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.656954,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,2.0,8.0,0.25,0.5,0.2,0.324445,30,99.618954,-42.170158,142.155557,1
NoVerify,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.660954,99.985399,0.000000,0
DirectAttest,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.560954,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.540954,-2.000000,101.985399,1
TEEOnly,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.460954,99.042066,0.943334,1
AuditSlash,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.580954,96.977177,3.008223,1
StrongDeposit,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.560954,99.410954,0.574445,1
ReputationOnly,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.600954,95.343399,4.642001,1
TEE-PoW,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.656954,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,2.0,8.0,0.25,1.0,0.2,0.324445,30,99.618954,-42.259380,142.244780,1
NoVerify,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.660954,99.985399,0.000000,0
DirectAttest,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.560954,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.540954,-2.000000,101.985399,1
TEEOnly,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.460954,99.042066,0.943334,1
AuditSlash,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.580954,97.106955,2.878445,1
StrongDeposit,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.560954,99.410954,0.574445,1
ReputationOnly,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.600954,95.343399,4.642001,1
TEE-PoW,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.656954,-131.053365,231.038764,1
Deposit+PoW,100000,2,brr,2.0,8.0,0.5,0.0,0.2,0.324445,30,99.618954,-42.080935,142.066335,1
NoVerify,100000,2,brr,2.0,8.0,0.5,0.5,0.2,0.324445,30,99.660954,99.985399,0.000000,0
DirectAttest,100000,2,brr,2.0,8.0,0.5,0.5,0.2,0.324445,30,99.560954,-1.000000,100.985399,1
RejectMismatch,100000,2,brr,2.0,8.0,0.5,0.5,0.2,0.324445,30,99.540954,-2.000000,101.985399,1
