n,domain,protocol,epsilon_h,epsilon_c,lambda,k_bits,k_uncapped,k_capped,hash_rate,deadline_sec,deposit_multiplier,premium,added_pow_cost,deadline_penalty,slash,deterrence,ic
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,1.0,0.0,7.59114416,16.76902400,73.99551322,0.00000000,90.76453722,1
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,1.0,0.5,7.59114416,16.76902400,73.99551322,3.79557208,94.56010930,1
10000,2,brr,0.2,0.5,2.0,23,23,0,2097152,1.0,1.0,7.59114416,16.76902400,73.99551322,7.59114416,98.35568138,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,0.05,0.0,7.59114416,16.76902400,85.97052106,0.00000000,102.73954506,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,0.05,0.5,7.59114416,16.76902400,85.97052106,3.79557208,106.53511714,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,0.05,1.0,7.59114416,16.76902400,85.97052106,7.59114416,110.33068922,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,0.2,0.0,7.59114416,16.76902400,63.68852844,0.00000000,80.45755244,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,0.2,0.5,7.59114416,16.76902400,63.68852844,3.79557208,84.25312452,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,0.2,1.0,7.59114416,16.76902400,63.68852844,7.59114416,88.04869660,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,1.0,0.0,7.59114416,16.76902400,12.85849213,0.00000000,29.62751613,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,1.0,0.5,7.59114416,16.76902400,12.85849213,3.79557208,33.42308821,1
10000,2,brr,0.2,0.5,2.0,23,23,0,16777216,1.0,1.0,7.59114416,16.76902400,12.85849213,7.59114416,37.21866029,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,0.05,0.0,10.16104068,1.04038400,95.17270765,0.00000000,96.21309165,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,0.05,0.5,10.16104068,1.04038400,95.17270765,5.08052034,101.29361199,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,0.05,1.0,10.16104068,1.04038400,95.17270765,10.16104068,106.37413233,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,0.2,0.0,10.16104068,1.04038400,88.29585959,0.00000000,89.33624359,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,0.2,0.5,10.16104068,1.04038400,88.29585959,5.08052034,94.41676393,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,0.2,1.0,10.16104068,1.04038400,88.29585959,10.16104068,99.49728427,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,1.0,0.0,10.16104068,1.04038400,59.18648467,0.00000000,60.22686867,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,1.0,0.5,10.16104068,1.04038400,59.18648467,5.08052034,65.30738901,1
10000,2,brr,0.2,1.0,0.25,19,19,0,262144,1.0,1.0,10.16104068,1.04038400,59.18648467,10.16104068,70.38790935,1
