seed,rho,segment_skew,epsilon_c,mechanism,buyer_utility,seller_revenue,seller_penalty,efficiency,accepted_fraud_rate,decision_regret
2026,0.0,1.0,2.0,DirectAttest,18.4416,12.2000,0.0000,0.950143,0.000000,0.8079
2026,0.0,1.0,2.0,RejectMismatch,18.1293,12.2000,0.0000,0.940458,0.000000,1.1202
2026,0.0,1.0,2.0,TEEOnly,18.6896,12.2000,0.0000,0.957831,0.000000,0.5599
2026,0.0,1.0,2.0,AuditSlash,18.1370,12.2000,0.0000,0.940698,0.000000,1.1125
2026,0.0,1.0,2.0,StrongDeposit,18.2119,12.2000,0.0000,0.943019,0.000000,1.0376
2026,0.0,1.0,2.0,ReputationOnly,18.4701,12.2000,0.0000,0.951026,0.000000,0.7794
2026,0.0,1.0,2.0,TEE-PoW,14.2401,12.2000,0.0000,0.819860,0.000000,5.0094
2026,0.0,1.0,2.0,Deposit+PoW,16.6289,12.2000,0.0000,0.893932,0.000000,2.6206
2026,0.0,1.0,4.0,NoVerify,19.0336,12.4000,0.0000,0.974700,0.000000,0.2159
2026,0.0,1.0,4.0,DirectAttest,18.6365,12.4000,0.0000,0.962387,0.000000,0.6130
2026,0.0,1.0,4.0,RejectMismatch,18.5596,12.4000,0.0000,0.960004,0.000000,0.6899
2026,0.0,1.0,4.0,TEEOnly,18.8431,12.4000,0.0000,0.968792,0.000000,0.4064
2026,0.0,1.0,4.0,AuditSlash,18.3267,12.4000,0.0000,0.952780,0.000000,0.9228
2026,0.0,1.0,4.0,StrongDeposit,18.3016,12.4000,0.0000,0.952001,0.000000,0.9479
2026,0.0,1.0,4.0,ReputationOnly,18.8160,12.4000,0.0000,0.967954,0.000000,0.4335
2026,0.0,1.0,4.0,TEE-PoW,14.5478,12.4000,0.0000,0.835602,0.000000,4.7017
2026,0.0,1.0,4.0,Deposit+PoW,16.0845,12.4000,0.0000,0.883254,0.000000,3.1650
2026,0.0,1.0,8.0,NoVerify,19.6246,12.8000,0.0000,1.000000,0.000000,0.0000
2026,0.0,1.0,8.0,DirectAttest,18.2880,12.8000,0.0000,0.963985,0.000000,0.9615
2026,0.0,1.0,8.0,RejectMismatch,18.7199,12.8000,0.0000,0.977376,0.000000,0.5296
2026,0.0,1.0,8.0,TEEOnly,18.8061,12.8000,0.0000,0.980049,0.000000,0.4434
2026,0.0,1.0,8.0,AuditSlash,18.0632,12.8000,0.0000,0.957012,0.000000,1.1863
2026,0.0,1.0,8.0,StrongDeposit,18.2071,12.8000,0.0000,0.961476,0.000000,1.0424
2026,0.0,1.0,8.0,ReputationOnly,18.8682,12.8000,0.0000,0.981976,0.000000,0.3813
2026,0.0,1.0,8.0,TEE-PoW,14.6700,12.8000,0.0000,0.851797,0.000000,4.5795
2026,0.0,1.0,8.0,Deposit+PoW,16.5577,12.8000,0.0000,0.910330,0.000000,2.6918
2026,0.0,1.5,1.0,NoVerify,19.2307,12.1000,0.0000,0.971511,0.000000,0.0188
2026,0.0,1.5,1.0,DirectAttest,18.2574,12.1000,0.0000,0.941328,0.000000,0.9921
